,translation,reol,Act,Chapter,type,code
16189,等到看守从我们身边经过后，我才不动声色地挣脱了艾玛的手。,system,02,01,Adv,03
16190,然后独自一人走向过道。,system,02,01,Adv,03
16191,呀啊啊啊！怪物别碰我！好恶心！好了，好了啦，我走就是！！,coco,02,01,Adv,03
16192,我看到泽渡可可正在逃避看守。,system,02,01,Adv,03
16193,其他被囚禁的少女们也陆续走出来，来到过道上。,system,02,01,Adv,03
16194,所有人的名字，我都已经记在脑子里了。,system,02,01,Adv,03
16195,等、等我一下，希罗！,ema,02,01,Adv,03
16196,如预料中的一样，艾玛追了上来。我转身，直视着艾玛的脸。,system,02,01,Adv,03
16197,居然在这种地方遇到你，我真的吓了一跳……,ema,02,01,Adv,03
16198,我一点也不惊讶。,hiro,02,01,Adv,03
16199,虽然发生了很多事，我们能不能还像以前那样做朋友……,ema,02,01,Adv,03
16200,抱歉，我没有那个打算。我无法原谅你，这一点不会改变。,hiro,02,01,Adv,03
16201,——,ema,02,01,Adv,03
16202,艾玛这副很受伤的表情，令我更加火大。,system,02,01,Adv,03
16203,说完了？那我走了。,hiro,02,01,Adv,03
16204,即使是第二次经历，还是想把她推开。,system,02,01,Adv,03
16205,我转身快步走向过道——这时。,system,02,01,Adv,03
16206,我不会放弃的——啊、,ema,02,01,Adv,03
16207,听到喊声我回头，发现艾玛摔倒了。,system,02,01,Adv,03
16208,呜、啊……,ema,02,01,Adv,03
16209,她被坚硬的石地板擦伤了膝盖，痛得皱起了脸。,system,02,01,Adv,03
16210,（这就是艾玛的本性）,hiro,02,01,Adv,03
16211,上次我推她的时候，她摔得很夸张，表现出的严重性比我的力道大多了。,system,02,01,Adv,03
16212,这次我甚至没有推她，她还是试图用摔倒来引起我的注意。,system,02,01,Adv,03
16213,（我不会再上当了）,hiro,02,01,Adv,03
16214,把颤抖的手紧握成拳，我无视艾玛继续往前走。,system,02,01,Adv,03
16215,随着憎恨涌上心头，我的胸口一阵阵发紧发痛。,system,02,01,Adv,03
16216,（……再也不想见到她了）,hiro,02,01,Adv,03
16217,我抬头看着从地下层通往一楼的楼梯。,system,02,01,Adv,03
16218,（接下来，我会被看守杀死）,hiro,02,01,Adv,03
16219,我拥有一种神奇的力量。,system,02,01,Adv,03
16220,按照在这座监牢中听到的说法，或许可以称之为【魔法】。,system,02,01,Adv,03
16221,——我的【魔法】是【死亡回溯】。,system,02,01,Adv,03
16222,只要死亡，就会回到死亡当天早上醒来的时刻。,system,02,01,Adv,03
16223,意识到自己拥有这种魔法，是在小时候溺水死亡的时候。,system,02,01,Adv,03
16224,经历了好几次同样的死亡，才终于发现自己拥有这种魔法。,system,02,01,Adv,03
16225,后来我还理解到，这是其他人做不到的事。从那时起，我开始对这种魔法感到厌恶。,system,02,01,Adv,03
16226,因为这是不正确的。,system,02,01,Adv,03
16227,不过，被看守砍下头颅而死属于意料之外，既然已经回溯了，那也没办法。,system,02,01,Adv,03
16228,（首先得避免因失控而被看守杀死）,hiro,02,01,Adv,03
16229,我一边在心中坚定立誓，一边登上楼梯。,system,02,01,Adv,03
16230,进入会客厅后，我观察着陆续进来的少女们。,system,02,01,Adv,04
16231,（她们就是【魔女】……？包括我在内，每个人都是不应该存在的错误？）,hiro,02,01,Adv,04
16232,（最终都会变成像那个看守一样的怪物？）,hiro,02,01,Adv,04
16233,（不，我才不是错误的。错误的是她才对）,hiro,02,01,Adv,04
16234,我用余光瞥见艾玛，一个打扮成侦探的少女——橘雪莉正在向她搭话。,system,02,01,Adv,04
16235,看守堵在入口处。看来所有人都已经进入会客厅了。,system,02,01,Adv,04
16236,包括我在内，少女们共有13名之多。大部分少女都显得慌乱，表情困惑。,system,02,01,Adv,04
16237,恐怕除了我之外，没人理解现在的情况。于是，我站到了房间中央。,system,02,01,Adv,04
16238,大家都是初次见面，来做个自我介绍吧！,hiro,02,01,Adv,04
16239,我用稍大的声音提议，原本嘈杂的少女们都将注意力集中到了我身上。,system,02,01,Adv,04
16240,我是二阶堂希罗。今后请多关照。,hiro,02,01,Adv,04
16241,我微笑着做了自我介绍，立刻走近的是莲见蕾雅。,system,02,01,Adv,04
16242,你看起来相当冷静啊……难不成，你其实对这个地方很了解？,leia,02,01,Adv,04
16243,不，完全不了解。,hiro,02,01,Adv,04
16244,蕾雅用怀疑的视线看着我。我们四目相对。我毫不为之动摇，只是笑意更浓。,system,02,01,Adv,04
16245,这样啊……嗯，好吧。我是莲见蕾雅。请多关照。,leia,02,01,Adv,04
16246,喂喂，蕾雅亲。我感觉好像在电视上见过你哦～,coco,02,01,Adv,04
16247,她是个艺人。经常上电视，舞台演出也很多。,hiro,02,01,Adv,04
16248,看到猫耳少女泽渡可可向这边走近，我像要打断她一样迅速说道。,system,02,01,Adv,04
16249,哈啊？我是在跟那边那个王子风格的人说话，又不是跟你说啦～？,coco,02,01,Adv,04
16250,我不想在无关紧要的信息上浪费时间。顺带一提，她不会给路人签名，也不接受合作邀约。,hiro,02,01,Adv,04
16251,这家伙什么毛病啊……,coco,02,01,Adv,04
16252,赶快开始自我介绍行不行？,hiro,02,01,Adv,04
16253,我用威压的语气说道。可可露出了惊恐的眼神。,system,02,01,Adv,04
16254,我、我叫泽渡可可。,coco,02,01,Adv,04
16255,谢谢你的介绍。,hiro,02,01,Adv,04
16256,感受到场面的主导权几乎已经掌握在我手中，我环视其他还在困惑的少女们。,system,02,01,Adv,04
16257,还没有自我介绍的，快点！,hiro,02,01,Adv,04
16258,我来我来～！我叫橘雪莉。哪里有案件哪里就有我！一切就交给我这位名侦探吧！,sherry,02,01,Adv,04
16259,哦。下一个！,hiro,02,01,Adv,04
16260,欸～，不跟我开开玩笑吗？,sherry,02,01,Adv,04
16261,对你没兴趣。还有谁没自我介绍？,hiro,02,01,Adv,04
16262,你这个人怎么回事，怎么能那么自以为是！？你以为你是谁——,hanna,02,01,Adv,04
16263,能不能闭嘴。啊，不过自我介绍还是要的。,hiro,02,01,Adv,04
16264,如果不继续维持互相介绍名字的流程，我和你们之间可能会产生认知偏差。,hiro,02,01,Adv,04
16265,产生不正确的扭曲是不好的。,hiro,02,01,Adv,04
16266,希罗，你还是老样子，一点都没变啊……,ema,02,01,Adv,04
16267,你和希罗是认识的吗？看起来，除了你们俩，其他人似乎没有像你们俩这样本来就认识的。,leia,02,01,Adv,04
16268,啊，嗯，是的。我叫樱羽艾玛。,ema,02,01,Adv,04
16269,我和希罗是从小一起长大的……虽然初中分到了别的班。,ema,02,01,Adv,04
16270,希罗以前就一直担任班长或者学生会主席。,ema,02,01,Adv,04
16271,哦！她确实看起来有这种感觉。把场面交给她来主持似乎更好。,leia,02,01,Adv,04
16272,冒昧打扰，能请教你的名字吗？,leia,02,01,Adv,04
16273,……呵，我是远野汉娜。往后请多多指照……往后请多多关教？,hanna,02,01,Adv,04
16274,被蕾雅这么温柔搭话，汉娜红着脸，扭过头说道。,system,02,01,Adv,04
16275,下一个！,hiro,02,01,Adv,04
16276,一位散发妖冶气息的少女走上前来。,system,02,01,Adv,04
16277,哎呀哎呀，怎么催得这么急呢？我叫宝生玛格哦。,margo,02,01,Adv,04
16278,看来这里有种不允许闲聊的氛围？真遗憾。,margo,02,01,Adv,04
16279,互相知道名字就行了。,hiro,02,01,Adv,04
16280,马上就会有人来对这个监牢的事作说明，我不想浪费时间。,hiro,02,01,Adv,04
16281,——为什么。,nanoka,02,01,Adv,04
16282,你，为什么会知道这些……？,nanoka,02,01,Adv,04
16283,一个眼神阴郁的少女，黑部奈叶香略显惊讶地睁大了眼睛。,system,02,01,Adv,04
16284,我是黑部奈叶香。你是什么人……？,nanoka,02,01,Adv,04
16285,刚才已经报过名字了。我什么人也不是。好了，下一个，那边那个你！,hiro,02,01,Adv,04
16286,呀！我、我叫冰上梅露露……,meruru,02,01,Adv,04
16287,下一个！,hiro,02,01,Adv,04
16288,好可怕！大、大叔我的心快要崩溃了……,miria,02,01,Adv,04
16289,大叔？算了，可以报上名来吗。,hiro,02,01,Adv,04
16290,佐伯米莉亚……,miria,02,01,Adv,04
16291,角落里蜷缩着的少女，正在往素描本上写着什么。,system,02,01,Adv,04
16292,（搞这么麻烦……磨磨蹭蹭的……）,hiro,02,01,Adv,04
16293,她是夏目安安。,hiro,02,01,Adv,04
16294,！,anan,02,01,Adv,04
16295,因为我抢先说出了她的名字，安安显得很震惊。,system,02,01,Adv,04
16296,还有几个少女没有自我介绍。,system,02,01,Adv,04
16297,眼神叛逆的少女，紫藤亚里沙。自由随性的少女，城崎诺亚。,system,02,01,Adv,04
16298,那边那个，你还没自我介绍吧？,hiro,02,01,Adv,04
16299,亚里沙向我投来锐利的目光。,system,02,01,Adv,04
16300,不想介绍。我，讨厌像你这样的人。,alisa,02,01,Adv,04
16301,派头跟个班长似的，让人恶心得起鸡皮疙瘩。,alisa,02,01,Adv,04
16302,紫藤亚里沙。看来你听说过我曾经当过班长的事。对我很感兴趣？,hiro,02,01,Adv,04
16303,什么……！？,alisa,02,01,Adv,04
16304,那边那个随心所欲的，是城崎诺亚。,hiro,02,01,Adv,04
16305,嗯？,noa,02,01,Adv,04
16306,我一声拍手。,system,02,01,Adv,04
16307,介绍完毕！,hiro,02,01,Adv,04
16308,其他少女看我的眼神明显变得充满怀疑。,system,02,01,Adv,04
16309,那个，希罗……你为什么会知道大家叫什么名字……？,ema,02,01,Adv,04
16310,这真是太令人在意了呢～！该我这个名侦探出场了吧！,sherry,02,01,Adv,04
16311,……老实说，我意识到自己有些失去了冷静。我悄悄叹了口气。,system,02,01,Adv,04
16312,（也许，我有点操之过急了）,hiro,02,01,Adv,04
16313,（……或许是想避免对她们产生感情）,hiro,02,01,Adv,04
16314,二阶堂希罗知道大家名字的原因，那就是……没错！超能力！,sherry,02,01,Adv,04
16315,她肯定是会读心！,sherry,02,01,Adv,04
16316,原来是这样吗，希罗！？,ema,02,01,Adv,04
16317,怎么可能啊。这些家伙是傻吗？,coco,02,01,Adv,04
16318,蕾雅轻咳一声，举起了手。,system,02,01,Adv,04
16319,我可以说几句吗？各位好像都被人穿上了莫名其妙的衣服吧。,leia,02,01,Adv,04
16320,请各位看看自己的衣服口袋。好像每个人都分到了一部手机。,leia,02,01,Adv,04
16321,这是我不知道的信息。我心里暗暗惊讶，同时把手伸进自己的衣服口袋。,system,02,01,Adv,04
16322,果然，正如蕾雅所说，里面有一部智能手机。,system,02,01,Adv,04
16323,而且，口袋里还有另一样东西。,system,02,01,Adv,04
16324,（这是……！）,hiro,02,01,Adv,04
16325,我的心脏因震惊而狂跳，但还是勉强保持着面无表情。,system,02,01,Adv,04
16326,真的欸，有了这个，也许就能和外界联系了！,ema,02,01,Adv,04
16327,不，遗憾的是，没有信号，不能用来和外界联络。,leia,02,01,Adv,04
16328,这部手机里有一个叫【魔女图鉴】的APP。上面记录了我们所有人的名字。,leia,02,01,Adv,04
16329,雪莉拍了下手。,system,02,01,Adv,04
16330,所有谜题都解开了！！,sherry,02,01,Adv,04
16331,呵呵呵，二阶堂希罗……你是通过这个【魔女图鉴】……,sherry,02,01,Adv,04
16332,不用说到最后了哇。大家都已经明白了。,hanna,02,01,Adv,04
16333,我一边操作着手机，一边偷偷观察蕾雅。,system,02,01,Adv,04
16334,（上一次我太早就结束了监牢生活，所以不知道的事还是太多了）,hiro,02,01,Adv,04
16335,（信息越多越好。目前尽量获取更多信息才是明智之举）,hiro,02,01,Adv,04
16336,（……时间差不多了）,hiro,02,01,Adv,04
16337,我仰望天花板附近。,system,02,01,Adv,04
16338,一只猫头鹰怪物从小小的通风口准时飞了进来。,system,02,01,Adv,04
16339,啊……好多人……呃，我再重新自我介绍下……我是受命管理这座宅邸的可爱猫头鹰，典狱长……,warden,02,01,Adv,04
16340,……因为下班时间快到了……我就抓紧时间开始说明咯……,warden,02,01,Adv,04
16341,嗯……非常遗憾地告诉大家……各位的身上拥有成为【魔女】的因子。,warden,02,01,Adv,04
16342,——魔女。,system,02,01,Adv,04
16343,是这个世界的祸根，是绝对之恶。尽管已经听过同样的话，可我依然感到动摇。,system,02,01,Adv,04
16344,（我才不是坏人！）,hiro,02,01,Adv,04
16345,心脏剧烈地跳动着，咚咚作响。眼前的一切开始摇晃，自我意识濒临崩塌。,system,02,01,Adv,04
16346,我只想否定一切，只想不顾一切发狂挣扎。,system,02,01,Adv,04
16347,（这种情绪到底是什么……为什么……）,hiro,02,01,Adv,04
16348,我——,system,02,01,Adv,04
16349,拿起了拨火棍,@choice |#0201Adv04_Choice001| button:ChoiceButtons/Adv/Bad,02,01,Adv,04
16350,拼命忍耐住了,@choice |#0201Adv04_Choice002|,02,01,Adv,04
16351,（要忍耐……！）,hiro,02,01,Adv,04
16352,我下意识地狠狠咬紧牙关，血腥味在口中弥漫开来。,system,02,01,Adv,04
16353,从这个春季开始，请大家以囚犯的身份，在这里生活下去。,warden,02,01,Adv,04
16354,得救的方法倒也不是没有……只要能找到【大魔女】，就能将各位的诅咒……,warden,02,01,Adv,04
16355,啊，不过，让你们抱有期待也不太好……请把这事忘了吧。,warden,02,01,Adv,04
16356,（大魔女……？）,hiro,02,01,Adv,04
16357,虽然很在意大魔女和救赎这些词，但我还是克制住了自己，没有开口。,system,02,01,Adv,04
16358,接着，典狱长开始介绍看守——魔女的【残骸】。,system,02,01,Adv,04
16359,啊，顺带一提，看守就是过去收监在此的人成为了魔女后的样子。,warden,02,01,Adv,04
16360,我们称之为【残骸】。,warden,02,01,Adv,04
16361,多数成为魔女的人都会被处刑，但我们会挑出其中比较容易使唤的，对它进行心灵操控。,warden,02,01,Adv,04
16362,我们已经命令它们，只要谁敢反抗就杀谁……真是不好意思，反抗的话就请你去死吧。,warden,02,01,Adv,04
16363,…………,hiro,02,01,Adv,04
16364,我用阴郁的眼神望向看守。,system,02,01,Adv,04
16365,只要不出声，不反抗，看守就不会向我挥下镰刀。,system,02,01,Adv,04
16366,上次被杀死的冲击和精神痛苦再次袭上心头。这一切都鲜明地烙印在记忆中。,system,02,01,Adv,04
16367,（……不，我要忘记。我已经成功避免了死亡）,hiro,02,01,Adv,04
16368,（我再也不能失控了）,hiro,02,01,Adv,04
16369,那个，希罗。你的脸色很差，你还好吗……？,ema,02,01,Adv,04
16370,旁边的艾玛向我搭话，使我更加心悸。,system,02,01,Adv,04
16371,别管我。,hiro,02,01,Adv,04
16372,我不留情面地说道。于是艾玛一脸失落地离开。,system,02,01,Adv,04
16373,和艾玛拉开距离以后，我稍微轻松了一些。,system,02,01,Adv,04
16374,（果然，我只要感知到艾玛的存在，就会变得无法抑制感情）,hiro,02,01,Adv,04
16375,（但我应该不是这么冲动的性格才对）,hiro,02,01,Adv,04
16376,（我身上到底发生了什么……？）,hiro,02,01,Adv,04
16377,——啊，还有几句话要说，真是不好意思。有一件最重要的事情，要跟大家说清楚。,warden,02,01,Adv,04
16378,即将转变为魔女的人，会产生无法抑制的杀意或妄想。,warden,02,01,Adv,04
16379,我猛地抬起头看着典狱长。,system,02,01,Adv,04
16380,这就会带来一桩麻烦事……总有一天囚犯内部会发生凶杀案。,warden,02,01,Adv,04
16381,凶杀案！？,sherry,02,01,Adv,04
16382,是啊……每次都会有这种事……再怎么说也不可能和这么危险的人共同生活，对不对。,warden,02,01,Adv,04
16383,所以呢，只要发生了凶杀案，我们就会举行【魔女审判】。,warden,02,01,Adv,04
16384,成为【魔女】的囚犯呢……嗯…………就会处以死刑……,warden,02,01,Adv,04
16385,详细情况麻烦去看【魔女图鉴】。我就失陪啦……,warden,02,01,Adv,04
16386,说完，典狱长拍打着翅膀飞进通风口，消失不见了。,system,02,01,Adv,04
16387,我马上拿出手机，打开魔女图鉴APP。,system,02,01,Adv,04
16388,『囚犯受到强烈精神压力后，魔女因子会得到增强，魔女化程度便会加深』,system,02,01,Adv,04
16389,『成为魔女之人，有可能会因为难以忍受的杀人冲动，犯下杀人的罪行』,system,02,01,Adv,04
16390,阅读完魔女图鉴里的内容，我理解了。,system,02,01,Adv,04
16391,（魔女化导致的杀人冲动……）,hiro,02,01,Adv,04
16392,那时的我不仅无法控制自己的情绪，甚至可以说，已经彻底发狂了。,system,02,01,Adv,04
16393,（如果那就是【魔女化】造成的影响——）,hiro,02,01,Adv,04
16394,（也就意味着……我已经开始【魔女化】了……？）,hiro,02,01,Adv,04
16395,（我能想到的导火索是【与艾玛的再会】……对我来说，这件事竟然带来了如此巨大的精神创伤吗）,hiro,02,01,Adv,04
16396,一阵寒意直冲脊背，我猛地摇了摇头。,system,02,01,Adv,04
16397,（冷静点……保持清醒……！）,hiro,02,01,Adv,04
16398,我已经理解了自己失控的原因，也接受了这个事实。,system,02,01,Adv,04
16399,但我通过克服上次的死亡，已经能够成功压制住黑暗的感情了。,system,02,01,Adv,04
16400,（已经没事了。我能保持自我）,hiro,02,01,Adv,04
16401,（我绝不会堕为魔女）,hiro,02,01,Adv,04
16402,（我要作为给世界带来秩序的正确之人，制裁魔女——！）,hiro,02,01,Adv,04
16403,我深深吸了口气，目光坚定地投向前方。,system,02,01,Adv,04
16404,却仍有无法言喻的某种感觉，正缓慢而无声地渗入我的胸口。,system,02,01,Adv,04
16405,——某间牢房中。,system,02,01,Adv,05
16406,呀吼～我是泽渡可可哦～！你们能看到我吗～？,coco,02,01,Adv,05
16407,喂，你在做什么啊……？,hanna,02,01,Adv,05
16408,别随便进来啊！我现在正在直播呢！,coco,02,01,Adv,05
16409,直播……？还有这种功能吗？,hanna,02,01,Adv,05
16410,欸～，嗯～，哦～～,coco,02,01,Adv,05
16411,原～来如此啊～！这也太过分啦！嗯嗯，有幕后黑手，我会变成怪物……太糟糕了！！,coco,02,01,Adv,05
16412,你在和谁说话啊……？,hanna,02,01,Adv,05
16413,哈？和自己啊。,coco,02,01,Adv,05
16414,和自己说话？你是在自言自语吗？你该不会是个疯子吧？,hanna,02,01,Adv,05
16415,都说了别进来啊大小姐！现在正到重要的地方呢！,coco,02,01,Adv,05
16416,我只要在直播中露脸，就能和那边的我自己连接在一起。,coco,02,01,Adv,05
16417,不过，这好像是只有在我魔女化进行到一定程度才能使用的能力。,coco,02,01,Adv,05
16418,现在的我只能从那边的我那里获得有限的信息。,coco,02,01,Adv,05
16419,？？？,hanna,02,01,Adv,05
16420,……虽然只能知道到我死为止的事，不过我大概已经明白啦。,coco,02,01,Adv,05
16421,真是不可原谅啊。我居然会死。在见到我推之前，我可不能死啊。,coco,02,01,Adv,05
16422,喂，正在看我直播的家人们……你们在看的吧？,coco,02,01,Adv,05
16423,你们那边的事我也看得到哦。,coco,02,01,Adv,05
16424,我要把一切都颠覆过来唷～,coco,02,01,Adv,05
16425,随着一句阴暗得令人绝望的低语。,system,02,01,Adv,05
16426,新的监牢生活，就此拉开帷幕。,system,02,01,Adv,05
16427,在会客厅听完典狱长的讲话后……,system,02,01,Adv,06
16428,我们按照规定，回到了分配有各自囚犯编号的，位于地下的房间。,system,02,01,Adv,06
16429,为什么会变成这样……完全搞不懂啊……,ema,02,01,Adv,06
16430,与我同室的艾玛坐在床上，脸色苍白，垂头丧气的样子。,system,02,01,Adv,06
16431,魔女，是什么啊……？我们到底会怎么样……,ema,02,01,Adv,06
16432,我用余光瞥了艾玛一眼，随即又回到自己的事情上。,system,02,01,Adv,06
16433,我坐在房间里的椅子上，用手机确认【魔女图鉴】的内容。,system,02,01,Adv,06
16434,刚才只是粗略地看了一遍，我打算再次仔细了解一下这里的规则。,system,02,01,Adv,06
16435,我将各种信息牢记于心。最让我在意的是关于【魔女化】的内容。,system,02,01,Adv,06
16436,（我们会因为受到精神压力而加深魔女化程度……仅此而已，没有更多详情了）,hiro,02,01,Adv,06
16437,（不管怎么样，我已经成功压抑住了冲动，接下来只能避免在生活中积攒压力了）,hiro,02,01,Adv,06
16438,希罗很冷静呢。真厉害啊。,ema,02,01,Adv,06
16439,——没什么厉害的。还有，别跟我说话。,hiro,02,01,Adv,06
16440,……对不起。,ema,02,01,Adv,06
16441,我努力不去看艾玛，在胸前紧紧握拳。,system,02,01,Adv,06
16442,（在此之外，对我更不利的是和艾玛长期同处一室的这种环境）,hiro,02,01,Adv,06
16443,（这必定会给我带来压力。也许需要想些办法）,hiro,02,01,Adv,06
16444,（总之，到了放风时间尽量出去走走会比较好）,hiro,02,01,Adv,06
16445,我叹了口气，从口袋里掏出刚才发现的另一样东西。,system,02,01,Adv,06
16446,这是我初中时常用的，本应送给【她】了的钢笔。,system,02,01,Adv,06
16447,（为什么它会出现在这里……？）,hiro,02,01,Adv,06
16448,虽然想不通原因，但我正好需要一支笔，倒也算是件好事。,system,02,01,Adv,06
16449,为了整理思绪，我习惯每天写日记。,system,02,01,Adv,06
16450,幸运的是，这个房间里有一个可以用来写字的小本子，我决定从今天开始把它当作我的日记本。,system,02,01,Adv,06
16451,首先，我记下了今天发生的事情。随着书写的动作，我的头脑逐渐清晰起来。,system,02,01,Adv,06
16452,欸？这个不是希罗以前用的……？,ema,02,01,Adv,06
16453,艾玛注意到了我的动作，不由自主地开口问道。,system,02,01,Adv,06
16454,——啧。我不禁咂舌。,system,02,01,Adv,06
16455,不知怎么就在口袋里了。你那边没有什么东西吗？,hiro,02,01,Adv,06
16456,呃，我这边倒是没什么特别的……,ema,02,01,Adv,06
16457,艾玛慌张地翻找着自己的口袋。,system,02,01,Adv,06
16458,（为什么偏偏是这支钢笔……）,hiro,02,01,Adv,06
16459,我握紧钢笔，想着不如折断它了事，但……我还是没能下手。,system,02,01,Adv,06
16460,…………,hiro,02,01,Adv,06
16461,我强迫自己摆脱感伤，继续集中精神写日记。面无表情地，只是机械地移动着笔尖。,system,02,01,Adv,06
16462,——监狱生活第二轮，第一天。成功回避了死亡，我还活着。,system,02,01,Adv,06
16463,——但看样子，我的魔女化程度似乎正在加深。,system,02,01,Adv,06
16464,——只要避免积攒压力，平静生活下去，应该就不会变得冲动吧。,system,02,01,Adv,06
16465,——魔女化是不是只会逐渐加深？没有什么预防的办法吗？,system,02,01,Adv,06
16466,——留给我的时限到底还有多少……,system,02,01,Adv,06
16467,——为了不堕为魔女，我必须更深入了解这座监牢。,system,02,01,Adv,06
16468,手机上弹出了典狱长发出的通知，用餐时间到了。,system,02,01,Adv,07
16469,牢房一开锁，我就迅速动身前往食堂，甚至没有回头看一眼正在打盹的艾玛。,system,02,01,Adv,07
16470,我已经完全记住了时间表和监牢的地图。,system,02,01,Adv,07
16471,哪怕一秒钟我都不想浪费，正打算疾步走向食堂，途中——,system,02,01,Adv,07
16472,——,hiro,02,01,Adv,07
